period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
8/1/2022,8/31/2022,30,metro,-2,16984,f,"Chicago, IL metro area",,,IL,All Residential,-1,310000,-0.046153846,0.016393443,299900,-0.04763417,0.034494653,191.1314985,-0.02550647,0.050217286,187.5133976,-0.015719148,0.04320964,8987,0.003349336,-0.197159192,8528,-0.016264852,-0.192041686,9294,-0.137047354,-0.232661823,26069,-0.056394107,0.230482394,2.9,-0.2,1,53,4,40,0.99302956,-0.008725197,-0.004270603,0.378101702,-0.08667445,-0.034083397,0.218458706,0.018798953,-0.066965631,0.075750469,-0.006150558,-0.42884451,"Chicago, IL",16984,9/24/2023 14:28
10/1/2020,10/31/2020,30,metro,-2,12060,f,"Atlanta, GA metro area",,,GA,Single Family Residential,6,295000,0.012006861,0.184738956,299000,-0.019672131,0.10781771,127.4787535,0.019830028,0.136398225,132.5303199,0.003914157,0.121474136,8982,-0.016748768,0.170903402,8355,0,0.134419552,9714,0.005590062,-0.091979809,15574,-0.051753531,-0.482212913,1.7,-0.1,-2.2,21,-3,-14,0.99165559,0.001407378,0.014157265,0.322422623,0.022477358,0.136527694,0.228650315,-0.001683343,-0.057838149,0.492160383,0.006941951,0.155296839,"Atlanta, GA",12060,9/24/2023 14:28
9/1/2017,9/30/2017,30,metro,-2,12060,f,"Atlanta, GA metro area",,,GA,All Residential,-1,215745,-0.018894952,0.061883527,244900,0.020416667,0.088444444,101.9995675,-0.006326794,0.062453414,109.2599693,0.013695347,0.079143612,8978,-0.12826488,-0.010470627,7988,-0.138388523,0.077857239,10785,-0.197484932,-0.11634576,36640,-0.052348438,-0.100461554,4.1,0.3,-0.4,45,6,-5,0.97799073,0.000444888,0.002680465,0.1916908,-0.002502811,0.019311212,0.201473799,-0.034714904,-0.024589247,0.284802203,-0.035443725,0.003328718,"Atlanta, GA",12060,9/24/2023 14:28
10/1/2021,10/31/2021,30,metro,-2,26420,f,"Houston, TX metro area",,,TX,All Residential,-1,305000,0.016666667,0.150943396,315000,0.001589825,0.145454545,144.1532258,0.013813752,0.175917244,150.3985619,0.008777331,0.172388947,8975,-0.066562663,-0.055163701,8638,-0.030309834,0.069986374,9957,-0.02065506,-0.032643544,17192,-0.027986657,-0.129210353,1.9,0.1,-0.2,19,3,-10,0.992033418,-0.001473592,0.011776417,0.321225627,-0.019804014,0.141311952,0.262854816,-0.048051499,-0.006253222,0.529057652,0.035231878,0.021687406,"Houston, TX",26420,9/24/2023 14:28
3/1/2016,3/31/2016,30,metro,-2,12060,f,"Atlanta, GA metro area",,,GA,All Residential,-1,195950,0.031315789,0.064945652,235000,0.073059361,0.073059361,91.57863543,0.013000598,0.056476049,100.4806642,0.027272973,0.046449218,8972,0.355901466,0.095081167,7927,0.327361018,0.067897077,15239,0.324900017,0.114450783,36898,0.06019596,-0.028667702,4.1,-1.2,-0.5,58,-14,-7,0.973943551,0.003758804,0.004806769,0.182679447,0.022939384,0.023519188,0.358827037,,-0.017538562,0.390816198,0.020923365,0.073828457,"Atlanta, GA",12060,9/24/2023 14:28
8/1/2015,8/31/2015,30,metro,-2,12060,f,"Atlanta, GA metro area",,,GA,All Residential,-1,190211,-0.048945,0.050889503,199900,-0.048095238,0.080540541,90.99696746,-0.017232751,0.068340809,93.06654258,-0.010897443,0.05745173,8964,-0.113966591,0.115064063,7454,-0.091197269,0.101847746,12355,-0.151092483,0.051220965,44051,-0.009020966,0.038032849,4.9,0.5,-0.4,50,2,11,0.970802946,-0.00282622,0.001490016,0.149375279,-0.024885866,-0.016565759,0.399695807,0.009882075,0.009493861,0.246981486,-0.011370135,-0.014215853,"Atlanta, GA",12060,9/24/2023 14:28
11/1/2021,11/30/2021,30,metro,-2,16984,f,"Chicago, IL metro area",,,IL,All Residential,-1,293250,0.000853242,0.086111111,279900,-0.017894737,0.040520446,177.9513889,5.74E-05,0.122215966,177.4911032,-0.011449207,0.078239767,8958,-0.062774639,0.074358359,7460,-0.182017544,0.027972992,7154,-0.275030401,0.010309278,16860,-0.135783485,-0.150330091,1.9,-0.1,-0.5,22,3,2,0.9872328,-0.002344138,0.00597384,0.320607278,-0.02140988,0.055555707,0.219217082,-0.055732941,0.001155297,0.440348525,-0.022041825,0.01537953,"Chicago, IL",16984,9/24/2023 14:28
7/1/2022,7/31/2022,30,metro,-2,16984,f,"Chicago, IL metro area",,,IL,All Residential,-1,325000,-0.044117647,0.041666667,314900,-0.030736935,0.050016672,196.1341892,-0.041695233,0.060633346,190.5080214,-0.022547693,0.050420168,8957,-0.186245117,-0.233920629,8669,-0.14363331,-0.196794218,10770,-0.177171671,-0.226681985,27627,0.012460146,0.287191912,3.1,0.6,1.3,49,1,39,1.001754756,-0.00834703,0.000967149,0.464776153,-0.064069128,0.011560279,0.199659753,0.019464056,-0.062046439,0.081901027,-0.012241026,-0.46122878,"Chicago, IL",16984,9/24/2023 14:28
6/1/2023,6/30/2023,30,metro,-2,26420,f,"Houston, TX metro area",,,TX,All Residential,-1,342500,0.007352941,-0.024216524,350000,0,0,164.984472,0.005005913,-0.00532483,168.0365731,-0.003111926,0.017338236,8952,0.012211669,-0.123126653,7558,-0.058310491,-0.142500567,11650,0.074326817,-0.159572933,22301,0.089873913,0.125687749,2.5,0.2,0.6,25,-2,14,0.98269293,0.000304082,-0.02145102,0.223413762,0.011405621,-0.209047791,0.313080131,-0.014893674,-0.033949297,0.481476581,-0.013165831,-0.116095463,"Houston, TX",26420,9/24/2023 14:28
8/1/2021,8/31/2021,30,metro,-2,35614,f,"New York, NY metro area",,,NY,All Residential,-1,675000,0,0.182136602,635000,-0.02307542,-0.006259781,383.3912037,-0.014397637,0.251120386,376.6666667,-0.010550546,0.018556474,8938,0.071959703,0.71029468,5846,-0.080528468,0.058291093,8275,-0.119212347,-0.222931731,29315,-0.041617628,-0.231948229,3.3,-0.4,-4,53,-2,-24,0.998216335,-0.001460532,0.014033718,0.292906691,-0.006325739,0.047786139,0.201262152,-0.005289436,0.018596045,0.208518645,-0.004755969,0.010654778,"New York, NY",35614,9/24/2023 14:28
